# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A1BG	A1BG	NM_130786.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	A1BG-AS1	NR_015380.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198819.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	A2M	NM_000014.4	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	A2ML1	NM_144670.5	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	A4GALT	NM_001318038.1	protein_coding	0	1	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0
AACS	AACS	NM_023928.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AACSP1	AACSP1	NR_135095.1		0	0	0	14	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	AADAC	NM_001086.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	AADACL2	NM_207365.3	protein_coding	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110202.1		0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	AADACL3	NM_001103170.2	protein_coding	0	0	1	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
AADACL4	AADACL4	NM_001013630.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	AAGAB	NM_024666.4	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	AAK1	NM_014911.3	protein_coding	0	1	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0
AAMDC	AAMDC	NM_001316957.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAMP	AAMP	NM_001302545.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAR2	AAR2	NM_001271874.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	AARD	NM_001025357.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	AARS2	NM_020745.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
